epoch,acc,auc,fn,fp,loss,lr,tn,tp,val_acc,val_auc,val_fn,val_fp,val_loss,val_tn,val_tp
0,0.5066406,0.5053727,1266.0,1260.0,0.7968962782179005,0.001,1300.0,1294.0,0.49285713,0.49152398,560.0,718.0,0.9325044986511034,542.0,700.0
1,0.5080078,0.50405675,1249.0,1270.0,0.7327038191724569,0.001,1290.0,1311.0,0.5063492,0.5190932,842.0,402.0,0.7252221308530323,858.0,418.0
2,0.5015625,0.50274295,1229.0,1323.0,0.7199656876036897,0.001,1237.0,1331.0,0.4873016,0.4933311,1026.0,266.0,1.4311651795629472,994.0,234.0
3,0.5072266,0.5114291,1130.0,1393.0,0.7230867665493861,0.001,1167.0,1430.0,0.49642858,0.50421923,819.0,450.0,0.7108895572878066,810.0,441.0
4,0.5109375,0.516195,1102.0,1402.0,0.7231740693096071,0.001,1158.0,1458.0,0.5436508,0.5444095,192.0,958.0,0.6898660574640546,302.0,1068.0
5,0.5029297,0.5013677,1140.0,1405.0,0.7249345429008827,0.001,1155.0,1420.0,0.49960318,0.515132,66.0,1195.0,0.7104992154571745,65.0,1194.0
6,0.51523435,0.5175401,1116.0,1366.0,0.7122512821806595,0.001,1194.0,1444.0,0.5083333,0.48367503,76.0,1163.0,0.7690474696102596,97.0,1184.0
7,0.5046875,0.5066691,1135.0,1401.0,0.7143085916759446,0.001,1159.0,1425.0,0.5257937,0.52541006,672.0,523.0,0.7304742695793273,737.0,588.0
8,0.49804688,0.50286883,1240.0,1330.0,0.7206974412547424,0.001,1230.0,1320.0,0.4984127,0.49002963,1043.0,221.0,0.695116632041477,1039.0,217.0
9,0.4939453,0.49923524,1175.0,1416.0,0.7177390627330169,0.001,1144.0,1385.0,0.4956349,0.5039286,190.0,1081.0,0.7352471860155226,179.0,1070.0
10,0.5169922,0.52272564,1055.0,1418.0,0.7056706208968535,0.001,1142.0,1505.0,0.50396824,0.52013445,1013.0,237.0,0.7788687563604779,1023.0,247.0
11,0.50507814,0.51142436,1098.0,1436.0,0.7059927775990218,0.001,1124.0,1462.0,0.49960318,0.4997443,1168.0,93.0,0.6955245373741029,1167.0,92.0
12,0.5140625,0.5058409,1049.0,1439.0,0.7093752342043445,0.001,1121.0,1511.0,0.50714284,0.5004819,1154.0,88.0,0.7847375900499405,1172.0,106.0
13,0.49902344,0.50060076,1113.0,1452.0,0.7153662402997725,0.001,1108.0,1447.0,0.4845238,0.5160005,1180.0,119.0,0.7428856846832094,1141.0,80.0
14,0.5101563,0.51527905,1179.0,1329.0,0.7093406298663467,0.001,1231.0,1381.0,0.52261907,0.5156399,558.0,645.0,0.7123852071781007,615.0,702.0
15,0.50742185,0.5105063,1036.0,1486.0,0.7080134659772739,0.001,1074.0,1524.0,0.49325398,0.48562422,747.0,530.0,0.7083788426622512,730.0,513.0
16,0.5175781,0.5165964,991.0,1479.0,0.7049477682448924,0.001,1081.0,1569.0,0.5257937,0.53898215,330.0,865.0,0.6890086737417039,395.0,930.0
17,0.5263672,0.5338549,1131.0,1294.0,0.7015333890449256,0.001,1266.0,1429.0,0.49642858,0.49416605,27.0,1242.0,1.1069340885631622,18.0,1233.0
18,0.540625,0.5566306,1281.0,1071.0,0.6946219152305275,0.001,1489.0,1279.0,0.54960316,0.57465106,990.0,145.0,0.6945532498851655,1115.0,270.0
19,0.56640625,0.59284693,1331.0,889.0,0.6845248182071373,0.001,1671.0,1229.0,0.5642857,0.60196024,277.0,821.0,0.6936604943540361,439.0,983.0
20,0.56523436,0.58607346,1268.0,958.0,0.6913054676260799,0.001,1602.0,1292.0,0.5488095,0.58549255,546.0,591.0,0.6733381916133184,669.0,714.0
21,0.5691406,0.5905172,1353.0,853.0,0.6817118498147465,0.001,1707.0,1207.0,0.56468254,0.5818922,649.0,448.0,0.6920028403401375,812.0,611.0
22,0.6058594,0.63560194,1223.0,795.0,0.6651892735972069,0.001,1765.0,1337.0,0.5503968,0.5761376,623.0,510.0,0.7432459811606105,750.0,637.0
23,0.5914062,0.6235437,1252.0,840.0,0.6679970300174318,0.001,1720.0,1308.0,0.5861111,0.6281557,726.0,317.0,0.6585094278293943,943.0,534.0
24,0.6064453,0.63911283,1247.0,768.0,0.6594222819549032,0.001,1792.0,1313.0,0.57222223,0.6065158,629.0,449.0,0.7520263575845294,811.0,631.0
25,0.58925784,0.626678,1193.0,910.0,0.6665148925967515,0.001,1650.0,1367.0,0.5857143,0.6341789,674.0,370.0,0.6557697744833099,890.0,586.0
26,0.5876953,0.62117785,1269.0,842.0,0.6714493411127478,0.001,1718.0,1291.0,0.590873,0.6485207,827.0,204.0,0.6591382662928293,1056.0,433.0
27,0.6035156,0.62534636,1290.0,740.0,0.6658848115475848,0.001,1820.0,1270.0,0.59801584,0.62855786,544.0,469.0,0.6768727699915568,791.0,716.0
28,0.60976565,0.6512757,1193.0,805.0,0.6549318112083711,0.001,1755.0,1367.0,0.5861111,0.6185459,643.0,400.0,0.6604553488275361,860.0,617.0
29,0.6130859,0.65602434,1205.0,776.0,0.6520953722065315,0.001,1784.0,1355.0,0.5738095,0.6135859,592.0,482.0,0.689553416437573,778.0,668.0
30,0.628125,0.6679972,1182.0,722.0,0.6445378511562012,0.001,1838.0,1378.0,0.5734127,0.6280413,896.0,179.0,0.6904798248221004,1081.0,364.0
31,0.628125,0.6799352,1218.0,686.0,0.6371008204296231,0.001,1874.0,1342.0,0.60873014,0.65868944,632.0,354.0,0.6627701833134606,906.0,628.0
32,0.640625,0.69636756,1122.0,718.0,0.6258056593942456,0.001,1842.0,1438.0,0.6031746,0.64598006,477.0,523.0,0.6864751966463195,737.0,783.0
33,0.6386719,0.6884275,1137.0,713.0,0.6308102352777496,0.001,1847.0,1423.0,0.6142857,0.65979403,508.0,464.0,0.6552977080619524,796.0,752.0
34,0.65058595,0.70166266,1164.0,625.0,0.6198644141550176,0.001,1935.0,1396.0,0.6333333,0.6756214,630.0,294.0,0.6385051864716742,966.0,630.0
35,0.64882815,0.70168763,1142.0,656.0,0.622761303151492,0.001,1904.0,1418.0,0.6,0.6750759,268.0,740.0,0.6650901760846849,520.0,992.0
36,0.6539062,0.7071752,1090.0,682.0,0.618554973101709,0.001,1878.0,1470.0,0.59484124,0.6509146,591.0,430.0,0.6795561343194947,830.0,669.0
37,0.65234375,0.7045609,1146.0,634.0,0.6192534000147134,0.001,1926.0,1414.0,0.61150795,0.6517967,625.0,354.0,0.6728614099205487,906.0,635.0
38,0.65292966,0.7074028,1134.0,643.0,0.6169474581256509,0.001,1917.0,1426.0,0.62420636,0.6874106,732.0,215.0,0.6351366420350377,1045.0,528.0
39,0.66875,0.7209736,1084.0,612.0,0.6057037570863031,0.001,1948.0,1476.0,0.62142855,0.6606586,575.0,379.0,0.6671816278544683,881.0,685.0
40,0.6734375,0.7286973,1058.0,614.0,0.6005001068697311,0.001,1946.0,1502.0,0.6218254,0.66591674,534.0,419.0,0.6584989024060113,841.0,726.0
41,0.68300784,0.7424699,1018.0,605.0,0.5899485013214871,0.001,1955.0,1542.0,0.58531743,0.6387941,818.0,227.0,0.7047270207651077,1033.0,442.0
42,0.66367185,0.7226351,1094.0,628.0,0.604512887308374,0.001,1932.0,1466.0,0.62579364,0.67247546,542.0,401.0,0.6470781361299848,859.0,718.0
43,0.6646484,0.7160393,1113.0,604.0,0.6117451098398305,0.001,1956.0,1447.0,0.55079365,0.63901174,205.0,927.0,0.7315217378357101,333.0,1055.0
44,0.67871094,0.7302656,1094.0,551.0,0.5972279005800374,0.001,2009.0,1466.0,0.65436506,0.69514734,488.0,383.0,0.6532592553467977,877.0,772.0
45,0.6759766,0.7354139,1071.0,588.0,0.5939891967573203,0.001,1972.0,1489.0,0.63293654,0.6893368,688.0,237.0,0.6328267767315819,1023.0,572.0
46,0.690625,0.74699694,1042.0,542.0,0.5824031449155882,0.001,2018.0,1518.0,0.6130952,0.6631334,517.0,458.0,0.6596626748168279,802.0,743.0
47,0.6951172,0.7550563,1048.0,513.0,0.5756809139274992,0.001,2047.0,1512.0,0.6198413,0.6906809,730.0,228.0,0.637813114930713,1032.0,530.0
48,0.684375,0.7414551,1051.0,565.0,0.5886767291813157,0.001,1995.0,1509.0,0.5674603,0.659549,960.0,130.0,0.6772517740489945,1130.0,300.0
49,0.69433594,0.761336,1028.0,537.0,0.5660507287830114,0.001,2023.0,1532.0,0.62738097,0.6874803,665.0,274.0,0.651955527682153,986.0,595.0
50,0.6970703,0.7616891,1012.0,539.0,0.5718650738708675,0.001,2021.0,1548.0,0.60952383,0.683283,716.0,268.0,0.6551058029844647,992.0,544.0
51,0.7037109,0.75874734,945.0,572.0,0.5760575738386251,0.001,1988.0,1615.0,0.63928574,0.6766941,699.0,210.0,0.6382492580820643,1050.0,561.0
52,0.6990234,0.7658842,1017.0,524.0,0.5666895830654539,0.001,2036.0,1543.0,0.6452381,0.7048715,578.0,316.0,0.6206681903392549,944.0,682.0
53,0.70097655,0.7653182,989.0,542.0,0.5675500566721894,0.001,2018.0,1571.0,0.643254,0.70744514,540.0,359.0,0.6366070757309595,901.0,720.0
54,0.7167969,0.7837548,900.0,550.0,0.553208933386486,0.001,2010.0,1660.0,0.6238095,0.67837113,491.0,457.0,0.6577626942169099,803.0,769.0
55,0.71621096,0.7826166,911.0,542.0,0.5518123778747395,0.001,2018.0,1649.0,0.6420635,0.6912122,544.0,358.0,0.6435792517094385,902.0,716.0
56,0.71347654,0.77521753,918.0,549.0,0.5600459043344017,0.001,2011.0,1642.0,0.6261905,0.68711984,735.0,207.0,0.645578311785819,1053.0,525.0
57,0.7115234,0.7778589,959.0,518.0,0.5555631919414736,0.001,2042.0,1601.0,0.63611114,0.69732016,540.0,377.0,0.6319114428664011,883.0,720.0
58,0.7199219,0.7827067,890.0,544.0,0.5512775920215063,0.001,2016.0,1670.0,0.6003968,0.6662746,445.0,562.0,0.6548532245178071,698.0,815.0
59,0.72578126,0.78915685,903.0,501.0,0.542271499929484,0.001,2059.0,1657.0,0.65555555,0.70209056,666.0,202.0,0.6373650240046638,1058.0,594.0
60,0.7228516,0.7931632,877.0,542.0,0.5405421301256865,0.001,2018.0,1683.0,0.6238095,0.6888562,697.0,251.0,0.6433548376200691,1009.0,563.0
61,0.7216797,0.7889107,911.0,514.0,0.5430820541514549,0.001,2046.0,1649.0,0.62341267,0.68010926,749.0,200.0,0.6950555832258293,1060.0,511.0
62,0.7302734,0.8012838,844.0,537.0,0.5367335207411088,0.001,2023.0,1716.0,0.65674603,0.70725024,399.0,466.0,0.7015081885315123,794.0,861.0
63,0.73398435,0.81269526,853.0,509.0,0.5182663233135827,0.001,2051.0,1707.0,0.62896824,0.6840398,537.0,398.0,0.6849628913378905,862.0,723.0
64,0.74433595,0.8140798,804.0,505.0,0.5206066239334177,0.001,2055.0,1756.0,0.6301587,0.6948384,407.0,525.0,0.6904562503572494,735.0,853.0
65,0.7398437,0.8148922,857.0,475.0,0.5094357983907685,0.001,2085.0,1703.0,0.66071427,0.7097858,443.0,412.0,0.649104886703075,848.0,817.0
66,0.75078124,0.8272306,782.0,494.0,0.504107175685931,0.001,2066.0,1778.0,0.6420635,0.68281966,619.0,283.0,0.6700042165697567,977.0,641.0
67,0.7589844,0.8286605,769.0,465.0,0.5009354661742691,0.001,2095.0,1791.0,0.64484125,0.697528,619.0,276.0,0.6479924639302587,984.0,641.0
68,0.7673828,0.8357148,754.0,437.0,0.49055258504813537,0.001,2123.0,1806.0,0.6345238,0.6816175,511.0,410.0,0.6675993068705476,850.0,749.0
69,0.7769531,0.8531124,698.0,444.0,0.4695235972467344,0.001,2116.0,1862.0,0.63928574,0.68592656,523.0,386.0,0.6900396941318399,874.0,737.0
70,0.7625,0.8399817,724.0,492.0,0.48752371669979766,0.001,2068.0,1836.0,0.64444447,0.70097977,480.0,416.0,0.6553854928721511,844.0,780.0
71,0.76054686,0.8372369,782.0,444.0,0.4883435404917691,0.001,2116.0,1778.0,0.643254,0.69481736,510.0,389.0,0.6918975920785987,871.0,750.0
72,0.7748047,0.85570633,697.0,456.0,0.4657509421813302,0.001,2104.0,1863.0,0.6365079,0.6794737,613.0,303.0,0.7171241137243453,957.0,647.0
73,0.7884766,0.8641793,681.0,402.0,0.45253549522021785,0.001,2158.0,1879.0,0.63095236,0.69977134,545.0,385.0,0.6885074929940322,875.0,715.0
74,0.79414064,0.86049354,669.0,385.0,0.4584885399963241,0.001,2175.0,1891.0,0.61150795,0.6698784,383.0,596.0,0.7454149847229322,664.0,877.0
75,0.7876953,0.85957855,669.0,418.0,0.46012719575082883,0.001,2142.0,1891.0,0.62341267,0.69760895,801.0,148.0,0.6837338721823125,1112.0,459.0
76,0.79472655,0.869547,669.0,382.0,0.43993139872327447,0.001,2178.0,1891.0,0.6496032,0.70024693,443.0,440.0,0.7844411792854468,820.0,817.0
77,0.79765624,0.8724601,655.0,381.0,0.437112981438986,0.001,2179.0,1905.0,0.6369048,0.684635,518.0,397.0,0.7151458009722687,863.0,742.0
78,0.81347656,0.88941807,589.0,366.0,0.4119283495674608,0.001,2194.0,1971.0,0.6472222,0.6883409,411.0,478.0,0.7401267010422926,782.0,849.0
79,0.7998047,0.8742865,654.0,371.0,0.43313891456637066,0.001,2189.0,1906.0,0.62738097,0.67520875,676.0,263.0,0.7803662385022829,997.0,584.0
80,0.8023437,0.88500077,615.0,397.0,0.4189785822381964,0.001,2163.0,1945.0,0.61269844,0.6722792,319.0,657.0,0.8742335289716721,603.0,941.0
81,0.8138672,0.88973314,577.0,376.0,0.4128293390822364,0.001,2184.0,1983.0,0.63968253,0.6903987,539.0,369.0,0.7393726378915801,891.0,721.0
82,0.8257812,0.89690936,558.0,334.0,0.39764020944130607,0.001,2226.0,2002.0,0.63214284,0.6956857,393.0,534.0,0.8299145815036599,726.0,867.0
83,0.8101562,0.89361984,619.0,353.0,0.4027907772397157,0.001,2207.0,1941.0,0.62976193,0.68441266,443.0,490.0,0.7159365124054371,770.0,817.0
84,0.825,0.89798546,575.0,321.0,0.39227300582570024,0.001,2239.0,1985.0,0.61944443,0.6777888,650.0,309.0,0.7242493125654402,951.0,610.0
85,0.8304688,0.90340984,566.0,302.0,0.3848108587117167,0.001,2258.0,1994.0,0.63293654,0.7024553,364.0,561.0,0.8047008504943242,699.0,896.0
86,0.8460938,0.91696197,497.0,291.0,0.35681147074501496,0.0003162278,2269.0,2063.0,0.6440476,0.6842063,359.0,538.0,0.8866284011848389,722.0,901.0
87,0.84941405,0.923367,494.0,277.0,0.34355655321269296,0.0003162278,2283.0,2066.0,0.6313492,0.6944473,362.0,567.0,0.8774067059987121,693.0,898.0
88,0.86328125,0.93368477,450.0,250.0,0.32028194979648106,0.0003162278,2310.0,2110.0,0.659127,0.6928165,451.0,408.0,0.8575405530513279,852.0,809.0
89,0.86816406,0.93479633,437.0,238.0,0.3118892733764369,0.0003162278,2322.0,2123.0,0.64285713,0.70105946,337.0,563.0,0.9893884327676561,697.0,923.0
90,0.8726562,0.9425719,423.0,229.0,0.2975106079611578,0.0003162278,2331.0,2137.0,0.63849205,0.68898934,387.0,524.0,0.973978166246698,736.0,873.0
91,0.8691406,0.94119793,432.0,238.0,0.30195686385559384,0.0003162278,2322.0,2128.0,0.5992063,0.676667,337.0,673.0,1.074016145060933,587.0,923.0
92,0.8791016,0.94677734,386.0,233.0,0.29015427736885613,0.0003162278,2327.0,2174.0,0.62460315,0.6861013,337.0,609.0,1.0234913245316535,651.0,923.0
