epoch,acc,auc,fn,fp,loss,lr,tn,tp,val_acc,val_auc,val_fn,val_fp,val_loss,val_tn,val_tp
32,0.6483333,0.7018745,1364.0,746.0,0.6198815020918846,0.001,2254.0,1636.0,0.6098305,0.6727885,644.0,507.0,0.6417609886597779,968.0,831.0
33,0.6536667,0.7071652,1266.0,812.0,0.6192327760159969,0.001,2188.0,1734.0,0.61762714,0.701401,333.0,795.0,0.6315685679346829,680.0,1142.0
34,0.6555,0.71395147,1256.0,811.0,0.6151263304551442,0.001,2189.0,1744.0,0.64474577,0.70551443,644.0,404.0,0.608374398946762,1071.0,831.0
35,0.6585,0.7134503,1232.0,817.0,0.614677823583285,0.001,2183.0,1768.0,0.57898307,0.65946746,378.0,864.0,0.6579888328657312,611.0,1097.0
36,0.66833335,0.7172213,1264.0,726.0,0.6098346534371376,0.001,2274.0,1736.0,0.640678,0.7036433,712.0,348.0,0.6138025358571845,1127.0,763.0
37,0.65316665,0.7092188,1313.0,768.0,0.6165448840955893,0.001,2232.0,1687.0,0.63457626,0.68751824,726.0,352.0,0.6245051404177132,1123.0,749.0
38,0.66066664,0.7179202,1285.0,751.0,0.60832298224171,0.001,2249.0,1715.0,0.6298305,0.69015753,922.0,170.0,0.6459099072521016,1305.0,553.0
39,0.6766667,0.73712236,1165.0,775.0,0.5958290771146615,0.001,2225.0,1835.0,0.65627116,0.7085058,674.0,340.0,0.6180419422812381,1135.0,801.0
40,0.66616666,0.718901,1269.0,734.0,0.6074268306295078,0.001,2266.0,1731.0,0.6152542,0.6845006,560.0,575.0,0.6211657709994558,900.0,915.0
41,0.66833335,0.727669,1223.0,767.0,0.6017132162054379,0.001,2233.0,1777.0,0.65118647,0.71227187,736.0,293.0,0.6044938357199653,1182.0,739.0
42,0.66083336,0.7167622,1254.0,781.0,0.6100600008666516,0.001,2219.0,1746.0,0.6454237,0.7042415,767.0,279.0,0.6129311546430749,1196.0,708.0
43,0.67483336,0.73184586,1201.0,750.0,0.5955708754559358,0.001,2250.0,1799.0,0.6322034,0.68212545,624.0,461.0,0.6320584659859285,1014.0,851.0
44,0.66366667,0.72748697,1213.0,805.0,0.6036355881889661,0.001,2195.0,1787.0,0.63932204,0.7086905,564.0,500.0,0.6117612004280091,975.0,911.0
45,0.686,0.73712647,1211.0,673.0,0.5918608176211516,0.001,2327.0,1789.0,0.64881355,0.7106482,600.0,436.0,0.6105641119560953,1039.0,875.0
46,0.6665,0.72753793,1256.0,745.0,0.5988310370345911,0.001,2255.0,1744.0,0.6623729,0.73358095,839.0,157.0,0.6002262930748826,1318.0,636.0
47,0.67616665,0.7372178,1205.0,738.0,0.5927093901236852,0.001,2262.0,1795.0,0.6437288,0.705408,811.0,240.0,0.6219701643717491,1235.0,664.0
48,0.68133336,0.73830605,1234.0,678.0,0.5886344536145528,0.001,2322.0,1766.0,0.6420339,0.6973207,856.0,200.0,0.6251530137102482,1275.0,619.0
49,0.68483335,0.7438804,1196.0,695.0,0.5864749429623286,0.001,2305.0,1804.0,0.6389831,0.72473913,964.0,101.0,0.6191898191379288,1374.0,511.0
50,0.6701667,0.7352273,1216.0,763.0,0.5964476047456264,0.001,2237.0,1784.0,0.66847456,0.73495114,537.0,441.0,0.5912826806811963,1034.0,938.0
51,0.6713333,0.73492706,1241.0,731.0,0.594634029964606,0.001,2269.0,1759.0,0.6322034,0.70669925,948.0,137.0,0.6231326828568668,1338.0,527.0
52,0.68,0.74180984,1216.0,704.0,0.5866108461717765,0.001,2296.0,1784.0,0.63932204,0.72353417,995.0,69.0,0.6248512197349031,1406.0,480.0
53,0.6766667,0.7391575,1216.0,724.0,0.5901543202996254,0.001,2276.0,1784.0,0.6681356,0.72971284,695.0,284.0,0.5945595271506552,1191.0,780.0
54,0.66966665,0.7284973,1267.0,715.0,0.5971352235476176,0.001,2285.0,1733.0,0.62881356,0.6948775,865.0,230.0,0.6226680821281368,1245.0,610.0
55,0.67466664,0.73827755,1246.0,706.0,0.5891513085365295,0.001,2294.0,1754.0,0.6427119,0.7159325,872.0,182.0,0.6199637039233062,1293.0,603.0
56,0.6935,0.75452757,1144.0,695.0,0.5774833651383718,0.001,2305.0,1856.0,0.66644067,0.72621137,785.0,199.0,0.6047948439242476,1276.0,690.0
57,0.68116665,0.7369082,1218.0,695.0,0.591097937275966,0.001,2305.0,1782.0,0.6576271,0.73600256,909.0,101.0,0.601760972758471,1374.0,566.0
58,0.68883336,0.7498678,1234.0,633.0,0.5796716561913491,0.001,2367.0,1766.0,0.6427119,0.72568774,895.0,159.0,0.6217561031297102,1316.0,580.0
59,0.6881667,0.74628127,1257.0,614.0,0.5811244808634122,0.001,2386.0,1743.0,0.6701695,0.7269156,772.0,201.0,0.5955470388218508,1274.0,703.0
60,0.6958333,0.7572107,1166.0,659.0,0.574680412809054,0.001,2341.0,1834.0,0.6579661,0.71132016,755.0,254.0,0.611131955506438,1221.0,720.0
61,0.6885,0.7482736,1225.0,644.0,0.5808012293775876,0.001,2356.0,1775.0,0.6423729,0.7147477,471.0,584.0,0.612258053230027,891.0,1004.0
62,0.68983334,0.74496114,1187.0,674.0,0.5846169974903266,0.001,2326.0,1813.0,0.6661017,0.732522,608.0,377.0,0.5897776970418833,1098.0,867.0
63,0.69083333,0.7541654,1158.0,697.0,0.5763066628078619,0.001,2303.0,1842.0,0.6623729,0.7327214,863.0,133.0,0.6124729540893588,1342.0,612.0
64,0.68866664,0.75143445,1226.0,642.0,0.5785474478205045,0.001,2358.0,1774.0,0.6586441,0.72404665,702.0,305.0,0.5955149245464195,1170.0,773.0
65,0.6896667,0.7518937,1179.0,683.0,0.5784401552875836,0.001,2317.0,1821.0,0.65118647,0.71599495,670.0,359.0,0.6036734325400853,1116.0,805.0
66,0.68483335,0.7498741,1202.0,689.0,0.5774289817114671,0.001,2311.0,1798.0,0.67118645,0.7379041,532.0,438.0,0.5911496840291104,1037.0,943.0
67,0.69083333,0.756644,1135.0,720.0,0.5740566788117091,0.001,2280.0,1865.0,0.6586441,0.73795366,439.0,568.0,0.5947575412564359,907.0,1036.0
68,0.6831667,0.74788964,1222.0,679.0,0.5792429409424464,0.001,2321.0,1778.0,0.6718644,0.7441328,812.0,156.0,0.5894034236164416,1319.0,663.0
69,0.69666666,0.75569403,1223.0,597.0,0.5722040124734242,0.001,2403.0,1777.0,0.6640678,0.7310303,497.0,494.0,0.5948760002346362,981.0,978.0
70,0.692,0.75630593,1179.0,669.0,0.5728830263515313,0.001,2331.0,1821.0,0.66474575,0.7251939,721.0,268.0,0.597623746981055,1207.0,754.0
71,0.694,0.75879,1192.0,644.0,0.5704934997856617,0.001,2356.0,1808.0,0.66101694,0.72339904,730.0,270.0,0.6013014290292384,1205.0,745.0
72,0.68916667,0.75258917,1240.0,625.0,0.5729329571127891,0.001,2375.0,1760.0,0.660339,0.7372292,934.0,68.0,0.6045421235642191,1407.0,541.0
73,0.69733334,0.7604771,1179.0,637.0,0.5693500319619974,0.001,2363.0,1821.0,0.6620339,0.7200273,706.0,291.0,0.6005012625354832,1184.0,769.0
74,0.68616664,0.7587297,1252.0,631.0,0.567708434810241,0.001,2369.0,1748.0,0.6745763,0.73555326,735.0,225.0,0.5863296812368651,1250.0,740.0
75,0.7083333,0.7761125,1170.0,580.0,0.5524465062220891,0.001,2420.0,1830.0,0.67220336,0.7384071,857.0,110.0,0.6009587852126461,1365.0,618.0
76,0.69266665,0.7592163,1206.0,638.0,0.5695194489260514,0.001,2362.0,1794.0,0.6583051,0.73855937,430.0,578.0,0.5948846255318593,897.0,1045.0
77,0.6961667,0.75951713,1190.0,633.0,0.5706339535613855,0.001,2367.0,1810.0,0.67898303,0.7406713,778.0,169.0,0.5951642315266497,1306.0,697.0
78,0.6958333,0.76142216,1162.0,663.0,0.5667304520308971,0.001,2337.0,1838.0,0.67322034,0.74355125,781.0,183.0,0.5834971911321252,1292.0,694.0
79,0.6985,0.7679404,1158.0,651.0,0.5635624016821384,0.001,2349.0,1842.0,0.6620339,0.7361848,513.0,484.0,0.5908458142967548,991.0,962.0
80,0.69883335,0.761176,1225.0,582.0,0.5645293508966763,0.001,2418.0,1775.0,0.68237287,0.7572362,768.0,169.0,0.57546499442246,1306.0,707.0
81,0.697,0.7667897,1153.0,665.0,0.5625657046834628,0.001,2335.0,1847.0,0.66711867,0.75136334,810.0,172.0,0.5839458280700748,1303.0,665.0
82,0.6868333,0.7544285,1241.0,638.0,0.5704221659898758,0.001,2362.0,1759.0,0.6772881,0.74406224,592.0,360.0,0.5796912704483937,1115.0,883.0
83,0.6935,0.7596766,1190.0,649.0,0.5675170274327198,0.001,2351.0,1810.0,0.6677966,0.73885715,537.0,443.0,0.5880207110259492,1032.0,938.0
84,0.701,0.76681614,1119.0,675.0,0.5637845064202944,0.001,2325.0,1881.0,0.63288134,0.71963835,398.0,685.0,0.6180774898852333,790.0,1077.0
85,0.7045,0.7705829,1138.0,635.0,0.5570473683377107,0.001,2365.0,1862.0,0.6877966,0.7531781,714.0,207.0,0.5747558220968408,1268.0,761.0
